"day","Yeild","irr"
"0","1045.684010324691","0.0"
"1","1070.0553872403448","0.0"
"2","1071.4439337457193","0.0"
"3","1071.4439337457193","0.0"
"4","1071.4439337457193","0.0"
"5","1071.4439337457193","0.0"
"6","1072.108003861777","0.0"
"7","1095.4199161723116","0.0"
"8","1182.2246693219772","0.0"
"9","1327.0534968303327","0.0"
"10","1491.303566472038","0.0"
"11","1674.6271387791237","0.0"
"12","1881.9953483612148","0.0"
"13","2113.0872338503405","0.0"
"14","2374.8583956818984","0.0"
"15","2665.6190125121557","0.0"
"16","2876.5210652421483","0.0"
"17","3365.162212996122","0.0"
"18","3779.4923492371063","0.0"
"19","4244.670543235508","0.0"
"20","4771.2682486922395","0.0"
"21","5357.122108166282","0.0"
"22","6020.759147742185","0.0"
"23","6762.883545516472","0.0"
"24","7595.11306202642","0.0"
"25","8531.06391317664","0.0"
"26","9584.27461386225","0.0"
"27","10767.858248014476","0.0"
"28","12086.197527453707","0.0"
"29","13580.302679630975","0.0"
"30","15265.087436812788","0.0"
"31","17149.053408818494","0.0"
"32","19248.971289841586","0.0"
"33","21627.758206891576","0.0"
"34","24289.627440458175","0.0"
"35","27291.41185322958","0.0"
"36","30657.439681052972","0.0"
"37","32518.84280384732","0.0"
"38","38666.2225526439","0.0"
"39","43453.48057088308","0.0"
"40","48788.77819493084","0.0"
"41","54845.39668910997","0.0"
"42","61594.997023134136","0.0"
"43","69166.77190813515","0.0"
"44","77731.6573808617","0.0"
"45","87276.39684155189","0.0"
"46","93620.17108046767","0.0"
"47","110208.53683281939","0.0"
"48","123670.2413422511","0.0"
"49","139026.54246464424","0.0"
"50","175309.5389334549","0.0"
"51","196914.91130187252","0.0"
"52","211664.68671687855","0.0"
"53","248598.0229217701","0.0"
"54","279194.6026694615","0.0"
"55","313705.9600932623","0.0"
"56","332752.9927167228","0.0"
"57","395656.7996300554","0.0"
"58","444762.69418307865","0.0"
"59","453046.5082642154","0.0"
"60","560860.0646204869","0.0"
"61","589349.4131098803","0.0"
"62","794781.7311422431","0.0"
"63","865932.6974902395","0.0"
"64","1127315.6737524052","0.0"
"65","1266772.4881778732","0.0"
"66","1422600.1099350024","0.0"
"67","1596790.2488176632","0.0"
"68","1795065.8535549834","0.0"
"69","2015510.7139471385","0.0"
"70","2265523.275293585","0.0"
"71","2545126.5711873937","0.0"
"72","2856779.7376271845","0.0"
"73","3209820.435877243","0.0"
"74","3604873.967630361","0.0"
"75","4050375.015868511","0.0"
"76","4549934.184513015","0.0"
"77","4826188.881176266","0.0"
"78","5459573.690965813","0.0"
"79","1.2930058824286021E7","0.0"
"80","1.453513222685605E7","0.0"
"81","1.631444601509601E7","0.0"
