Doy,Rain,dt,Temp,Radiation,Relative Humidity,Wind,lat,long,elev,height,irr
0,0,0.01,19.76666667,3.202111111,74.73333333,2.477777778,14.24,102.69,295,2.5,0
0.01,0,0.01,19.46666667,2.809222222,75.58888889,4.311111111,14.24,102.69,295,2.5,0
0.02,0,0.01,19.24444444,3.332888889,76.28888889,2.288888889,14.24,102.69,295,2.5,0
0.03,0,0.01,19.04444444,3.463777778,76.9,3.644444444,14.24,102.69,295,2.5,0
0.04,0,0.01,18.98888889,2.809111111,76.95555556,1.977777778,14.24,102.69,295,2.5,0
0.05,0,0.01,18.78888889,3.856666667,77.4,4.711111111,14.24,102.69,295,2.5,0
0.06,0,0.01,18.72222222,3.333,77.36666667,3.166666667,14.24,102.69,295,2.5,0
0.07,0,0.01,18.6,2.547222222,77.67777778,4.6,14.24,102.69,295,2.5,0
0.08,0,0.01,18.33333333,2.416333333,78.23333333,5.4,14.24,102.69,295,2.5,0
0.09,0,0.01,18.06666667,2.809222222,78.97777778,3.711111111,14.24,102.69,295,2.5,0
0.1,0,0.01,17.72222222,3.201888889,80.02222222,3.388888889,14.24,102.69,295,2.5,0
0.11,0,0.01,17.47777778,3.202,80.54444444,2.622222222,14.24,102.69,295,2.5,0
0.12,0,0.01,17.28888889,2.940111111,81.27777778,2.333333333,14.24,102.69,295,2.5,0
0.13,0,0.01,17.13333333,2.547333333,81.75555556,3.222222222,14.24,102.69,295,2.5,0
0.14,0,0.01,17.16666667,3.333,81.68888889,2.866666667,14.24,102.69,295,2.5,0
0.15,0,0.01,17.31111111,2.416333333,81.17777778,1.277777778,14.24,102.69,295,2.5,0
0.16,0,0.01,17.35,2.612833333,81.03333333,0.266666667,14.24,102.69,295,2.5,0
0.17,0,0.01,17.27777778,3.202,81.11111111,0.922222222,14.24,102.69,295,2.5,0
0.18,0,0.01,17.14444444,2.678222222,81.6,1.466666667,14.24,102.69,295,2.5,0
0.19,0,0.01,17.03333333,2.809222222,81.84444444,1.255555556,14.24,102.69,295,2.5,0
0.2,0,0.01,16.94444444,3.071111111,82.18888889,1.722222222,14.24,102.69,295,2.5,0
0.21,0,0.01,16.83333333,2.809222222,82.42222222,2.444444444,14.24,102.69,295,2.5,0
0.22,0,0.01,16.84444444,2.809222222,82.24444444,2.877777778,14.24,102.69,295,2.5,0
0.23,0,0.01,16.75555556,3.202,82.48888889,1.755555556,14.24,102.69,295,2.5,0
0.24,0,0.01,16.55,2.612833333,83.18333333,1.516666667,14.24,102.69,295,2.5,0
0.25,0,0.01,16.5,2.940111111,83.55555556,1.4,14.24,102.69,295,2.5,0
0.26,0,0.01,16.48888889,3.594777778,83.73333333,1.877777778,14.24,102.69,295,2.5,0
0.27,0,0.01,16.42222222,3.332888889,83.88888889,1.444444444,14.24,102.69,295,2.5,0
0.28,0,0.01,16.35555556,7.070888889,83.76666667,0.744444444,14.24,102.69,295,2.5,0
0.29,0,0.01,16.44444444,18.56233333,83.77777778,0.955555556,14.24,102.69,295,2.5,0
0.3,0,0.01,16.62222222,29.89522222,83.45555556,1.733333333,14.24,102.69,295,2.5,0
